idx,device_id,latitude,longitude,snapshot_datetime,collector_id,destination_request_id,snapshot_datetime_unix
-Msedbx0hLjlXNlDRk8W,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:01.697443,51,51.0,1641400261
-Msedd5QzXz4KnSaXP2N,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:06.395455,51,51.0,1641400266
-MsedeJs5G5TrxfZxAMp,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:11.416032,51,51.0,1641400271
-MsedfXSxOs6QMUCqDJt,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:16.381261,51,51.0,1641400276
-MsedglMbff7VDqjlikQ,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:21.431578,51,51.0,1641400281
-MsedhzXNUJ8GqjBC7n9,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:26.434299,51,51.0,1641400286
-MsedjWw6E716uTwOpEv,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:32.729272,51,51.0,1641400292
-MsedkTD3uuCclTf6LXp,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:36.589759,51,51.0,1641400296
-Msedledw7QgDErDleZX,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:41.480654,51,51.0,1641400301
-MsedmtB72xfjhmLJjW9,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:46.508434,51,51.0,1641400306
-Msedo4p1U9rXwsFTMtG,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:51.413383,51,51.0,1641400311
-MsedpInL7tUu1o0Cx7X,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:56.402745,51,51.0,1641400316
-MsedqX1eBp1q7V4RHBj,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:01.409834,51,51.0,1641400321
-Msedrkhap6SeyiSN1bb,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:06.445292,51,51.0,1641400326
-MsedsziuoESnJfvx7uS,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:11.501624,51,51.0,1641400331
-MsedxVIAdM6gu7DFaR8,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:29.966569,51,51.0,1641400349
-Msedyji-rRXGTFHG58q,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:35.054620,51,51.0,1641400355
-Msedzw-dhzXu-MX33Ez,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:39.936178,51,51.0,1641400359
-Msee0973foGipLK7u9p,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:44.935590,51,51.0,1641400364
-MseesrRuM7ysOS1RcCx,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:36:33.116122,51,51.0,1641400593
-MseetIqdTnT4AmSTZIZ,b8e1d679ea29c711,27.2040354,31.1748048,2022-01-05 16:36:34.933793,51,51.0,1641400594
-MseeuXp87zQbQBkF8xl,b8e1d679ea29c711,27.2040354,31.1748048,2022-01-05 16:36:39.988983,51,51.0,1641400599
-MseeyBqv4HEuenrgCsV,b8e1d679ea29c711,27.2040349,31.1748049,2022-01-05 16:36:54.966297,51,51.0,1641400614
-MseezNrrDHbsCUSTbLf,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:36:59.831409,51,51.0,1641400619
-Msef-cdI1AXzTh17jA4,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:04.937784,51,51.0,1641400624
-Msef0qfW1SgGjoxe4vW,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:09.931260,51,51.0,1641400629
-Msef23jz4QVXsTXlnm9,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:14.926847,51,51.0,1641400634
-Msef3IM3Psq1Q74_FeX,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:19.959220,51,51.0,1641400639
-Msef4VVTonHehs2_wIA,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:24.895726,51,51.0,1641400644
-Msef5ntfvP0JbSRsa0E,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:30.233560,51,51.0,1641400650
-Msef8UZzn6D6IiEM0oa,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:41.220120,51,51.0,1641400661
-Msef9Q5xUyb7b6zU3U6,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:45.030019,51,51.0,1641400665
-MsefAexMsmygpcmvZ99,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:50.141332,51,51.0,1641400670
-MsefBqLrP1EwCuW19YY,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:54.962325,51,51.0,1641400674
-MsefDElqu7QS8M6OYKt,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:00.689286,51,51.0,1641400680
-MsefEHTnRaQcen11N-7,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:04.957922,51,51.0,1641400684
-MsefFVfCkFfpvyDY77O,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:09.963168,51,51.0,1641400689
-MsefGi8ZpDfciBihNK7,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:14.919936,51,51.0,1641400694
-MsefHzrQZPRuRc79_-r,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:20.151503,51,51.0,1641400700
-MsefJ9HRFgj2YIKmpA_,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:24.914433,51,51.0,1641400704
